#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) Seismic_moment_Mo Magnitude_Mw Strike_A Dip_A Rake_A Strike_B Dip_B Rake_B Slip_trend_A Slip_plunge_A Slip_trend_B Slip_plunge_B Trend_P Plunge_P Trend_B Plunge_B Trend_T Plunge_T fclvd Isotropic Iso_ratio u_Hudson v_Hudson X_Kaverina Y_Kaverina ID rupture_type
168.79 -21.64 12.0 -7.14 3.04 4.1 -1.72 1.71 -3.56 19.0 7.55458e+19 2.5 320.655 35.6792 -87.694 137.817 54.3541 -91.6549 47.8172 -35.6459 230.655 -54.3208 40.6637 80.5617 138.782 1.34475 229.003 9.34023 0.00328624 -2730.67 -3.61458e-17 -0.00657249 1.11022e-16 -0.636467 -0.491261 201711010223A N
144.0 37.48 13.8 -1.84 -0.177 2.01 0.245 0.879 1.43 19.0 2.57023e+19 2.2 35.8965 34.9533 -75.9137 198.874 56.2423 -99.6549 108.874 -33.7577 305.896 -55.0467 78.2742 76.5281 204.275 8.01521 295.808 10.7563 0.297802 -2.33333e+16 -0.000907831 -0.593987 -0.000808219 -0.594096 -0.384201 201710060759A N
-84.58 9.45 29.6 7.11 -5.94 -1.17 5.85 -3.31 3.15 19.0 9.93496e+19 2.6 294.076 23.7523 85.8846 118.571 66.3127 91.8089 208.571 23.6873 24.076 66.2477 207.198 21.2929 297.844 1.65643 32.0836 68.6365 0.0380983 0.0 0.0 0.0761967 -2.96059e-16 0.427772 -0.537552 201711130228A R
168.67 -21.45 12.0 -3.19 0.679 2.51 -0.719 1.1 -1.31 20.0 3.45133e+20 3.0 334.619 33.8956 -86.4371 150.329 56.1787 -92.3909 60.3286 -33.8213 244.619 -56.1044 51.6923 78.6711 151.66 1.9861 242.051 11.1489 0.000226892 -3.33333e+16 -9.65811e-05 0.000646897 -9.65562e-05 -0.604122 -0.489432 201711192243A N
168.95 -18.85 208.0 2.33 2.93 -5.26 3.32 -0.045 -0.699 19.0 5.68803e+19 2.4 148.45 59.9347 31.213 41.5635 63.3527 145.908 131.564 26.6473 238.45 30.0653 95.6908 2.12713 188.034 47.7465 3.76259 42.1742 0.110541 0.0 0.0 -0.221082 1.85037e-16 0.468048 0.328844 201709202009A SS-R
120.65 14.03 180.4 3.46 -2.34 -1.12 0.827 -1.04 0.298 19.0 3.34741e+19 2.3 278.113 35.3493 75.2577 115.994 55.9779 100.232 205.994 34.0221 8.11349 54.6507 198.656 10.4344 290.227 8.46626 58.5519 76.5026 0.311179 0.0 0.0 -0.622358 1.4803e-16 0.597979 -0.37481 201708110528A R
130.13 26.9 12.0 -0.935 0.235 0.7 0.289 0.429 0.538 19.0 1.12549e+19 2.0 32.9244 31.2594 -90.6226 213.653 58.7426 -89.6221 123.653 -31.2574 302.924 -58.7406 124.777 76.2542 33.4566 0.323068 303.378 13.7418 0.100464 0.0 0.0 -0.200929 -1.4803e-16 -0.562607 -0.53013 201707261032A N
-73.65 -16.7 66.4 2.89 -6.11 3.22 2.43 -0.983 1.53 19.0 6.10233e+19 2.5 239.043 47.1513 26.3858 130.4 70.9846 134.002 220.4 19.0154 329.043 42.8487 189.91 14.5063 292.933 41.0543 84.7324 45.3383 0.418743 0.0 0.0 0.837487 -1.11022e-16 0.331296 0.146031 201707180205A R-SS
-91.38 13.57 38.1 1.66 -1.28 -0.376 0.616 -0.465 0.692 20.0 1.82818e+20 2.8 294.838 32.7408 83.9365 122.036 57.4651 93.8856 212.036 32.5349 24.8381 57.2592 209.224 12.3847 299.944 3.27505 44.5033 77.1762 0.00440791 1.33333e+17 0.000729324 -0.0102697 0.000726929 0.579979 -0.473396 201706221231A R
82.74 44.4 27.6 3.56 -4.06 0.505 -0.365 -1.25 -0.638 19.0 4.09986e+19 2.3 100.539 44.2037 117.886 244.105 51.9572 65.5394 334.105 38.0428 190.539 45.7963 351.175 4.07982 259.765 19.0322 92.7963 70.5022 0.0434916 1.66667e+16 0.000406518 0.0861868 0.00039821 0.654402 -0.156763 201708082327A R
-80.73 -0.36 13.9 0.707 0.031 -0.737 0.003 -1.06 -0.132 19.0 1.28958e+19 2.0 18.4793 17.9265 106.26 181.436 72.8134 84.8242 271.436 17.1866 108.479 72.0735 275.565 27.6351 182.969 4.94411 83.6655 61.8503 0.0287482 3333330000000000.0 0.000258482 0.0569865 0.000254945 0.309191 -0.501168 201706302229A R
-92.17 14.92 72.7 -1.48 0.845 0.631 2.25 -1.83 -1.1 20.0 3.35748e+20 3.0 136.651 14.9978 -82.936 309.341 75.1186 -91.887 219.341 -14.8814 46.6514 -75.0022 216.685 59.8391 309.826 1.82372 40.8831 30.0941 0.102838 -1.33333e+17 -0.000397123 -0.204918 -0.000378572 -0.270181 -0.559364 201706140729A N
-67.92 -23.2 164.2 -0.955 -0.444 1.4 0.427 -2.77 -1.02 19.0 3.22958e+19 2.3 124.398 17.916 -137.157 352.972 77.9257 -76.6642 262.972 -12.0743 34.3976 -72.084 279.559 55.158 170.133 13.0355 71.9241 31.6619 0.204474 3333330000000000.0 0.000103212 -0.409137 9.44329e-05 -0.214212 -0.373975 201704150819A N
149.54 -6.3 48.4 3.39 -3.91 0.524 0.649 -0.168 -0.084 19.0 3.7395e+19 2.3 265.288 40.0963 84.6022 92.3298 50.1173 94.5286 182.33 39.8827 355.288 49.9037 179.117 5.01982 269.422 3.47359 33.97 83.8905 0.12969 1.33333e+16 0.000356554 0.258707 0.000335995 0.70392 -0.430531 201703052247A R
122.78 4.57 621.5 -0.073 0.143 -0.07 0.071 -0.966 0.27 21.0 1.01313e+21 3.3 268.714 15.551 -0.952648 359.632 89.7446 -105.549 269.632 -0.25539 178.714 -74.449 254.564 43.1863 359.703 15.5488 104.576 42.693 0.15127 0.0 0.0 0.302541 0.0 -0.00452419 -0.342402 201701100613A N
174.34 52.34 38.3 0.736 -0.839 0.103 0.557 0.586 -0.2 19.0 1.14968e+19 2.0 281.134 29.4062 132.266 54.9217 68.6937 69.2397 144.922 21.3063 11.1345 60.5938 160.5 21.0433 62.7641 19.2828 294.006 60.8014 0.0212064 0.0 0.0 -0.0424127 -3.70074e-16 0.372601 -0.23927 201612030923A R
-74.43 -43.41 32.8 1.75 -0.029 -1.73 0.106 -2.24 -0.034 21.0 2.83868e+21 3.6 4.04844 18.9841 95.6112 178.117 71.1103 88.0735 268.117 18.8897 94.0484 71.0159 269.633 26.0862 178.741 1.82274 85.0259 63.8405 0.0116191 -3e+18 -0.00105683 -0.0211333 -0.0010524 0.342169 -0.549563 201612251422A R
176.0 -19.28 17.3 -3.02 0.393 2.62 -0.22 0.004 1.32 20.0 3.14013e+20 2.9 200.837 44.33 -95.8529 28.9925 45.961 -84.3111 298.993 -44.039 110.837 -45.67 13.679 85.8324 205.031 4.08629 114.973 0.817562 0.0637015 -2.33333e+17 -0.000743068 -0.12596 -0.000721345 -0.771149 -0.393603 201701032152A N
137.55 8.34 15.7 1.56 -0.82 -0.74 0.513 -0.098 -1.11 19.0 1.82529e+19 2.1 209.238 42.5992 64.5549 62.1157 52.3231 111.557 152.116 37.6769 299.238 47.4008 136.996 5.06678 228.54 16.9066 30.8597 72.3063 0.104778 0.0 0.0 0.209556 2.22045e-16 0.649903 -0.199417 201612180947A R
74.14 39.27 19.1 -0.047 -0.68 0.727 -0.125 -0.199 -0.858 20.0 1.13488e+20 2.6 109.976 78.2031 -176.878 19.3372 86.9438 -11.8139 289.337 -3.05625 19.9761 -11.7969 334.08 10.5016 185.037 77.8026 65.2211 6.1345 0.0208098 0.0 0.0 -0.0416196 -7.40149e-17 -0.0573055 0.730909 201611251424A SS
161.12 -10.46 45.5 5.22 -3.57 -1.65 -1.35 -1.86 3.69 21.0 6.34477e+21 3.8 285.243 49.5823 57.118 150.16 50.2556 122.518 240.16 39.7444 15.2426 40.4177 217.818 0.364293 307.984 24.4147 127.016 65.5822 0.0249159 -349525.0 -5.50887e-17 0.0498318 7.40149e-17 0.680017 -0.0391813 201612081738A R-SS
-174.95 -15.45 12.0 -0.165 1.32 -1.15 0.197 -0.16 0.701 19.0 1.44978e+19 2.0 30.4431 79.4868 -176.725 299.845 86.7802 -10.53 209.845 -3.21977 300.443 -10.5132 254.7 9.71427 103.032 78.9941 345.579 5.12358 0.094385 1.66667e+16 0.0011496 -0.190965 0.00109758 -0.060641 0.7516 201610260519A SS
141.76 38.46 53.7 1.65 -0.055 -1.59 0.444 1.37 -0.411 19.0 2.20676e+19 2.2 191.395 24.7063 85.2264 16.6472 65.3851 92.1926 106.647 24.6149 281.395 65.2937 104.994 20.3564 195.734 1.99329 291.085 69.5376 0.0200928 1.66667e+16 0.000755257 0.0386883 0.000748624 0.443777 -0.52857 201611112142A R
141.91 24.98 522.7 -1.27 0.502 0.768 -0.504 -2.64 -1.37 19.0 3.2137e+19 2.3 109.507 29.5892 -154.828 357.279 77.8765 -62.8011 267.279 -12.1235 19.5071 -60.4108 297.303 49.7646 171.119 26.5442 65.8479 27.8 0.157294 0.0 0.0 0.314588 -7.40149e-17 -0.211718 -0.138285 201608041624A N
168.39 54.76 13.8 -0.099 -2.18 2.28 -0.767 -0.812 -0.385 19.0 2.52511e+19 2.2 130.607 63.7241 -177.556 39.5247 87.8084 -26.2966 309.525 -2.19155 40.6073 -26.2759 351.91 19.8813 215.1 63.6187 88.1056 16.6181 0.00762536 3333330000000000.0 0.000132008 -0.0155137 0.000131481 -0.0394559 0.491 201609052254A SS-N
-70.98 -35.06 96.2 -2.27 -0.487 2.75 -1.74 -2.12 1.01 19.0 3.87536e+19 2.3 172.926 26.8977 -128.395 34.5495 69.2332 -72.5123 304.549 -20.7668 82.9255 -63.1023 331.274 61.8025 208.175 16.3185 111.27 22.3271 0.110387 -2.33333e+16 -0.000602095 -0.21963 -0.000572252 -0.364699 -0.293633 201611041620A N
148.18 -2.97 12.0 -0.143 3.04 -2.89 0.285 1.32 4.12 19.0 5.25406e+19 2.4 107.642 75.1308 -1.91582 198.134 88.1484 -165.123 108.134 -1.85164 17.6424 -14.8692 63.8571 11.7885 205.069 75.0107 331.936 9.12592 0.0117933 2.33333e+16 0.000444101 -0.0244691 0.000441214 -0.0343738 0.68144 201607251938A SS
130.69 32.71 12.0 0.009 0.969 -0.978 0.221 -0.123 0.582 19.0 1.16209e+19 2.0 29.5445 77.4271 179.763 119.596 89.7685 12.573 209.596 0.231501 119.545 12.5729 253.876 8.6888 120.634 77.4249 345.266 9.02014 0.00642319 -682.667 -5.87446e-17 0.0128464 -1.11022e-16 0.00433027 0.719379 201604141503A SS
71.04 36.44 210.8 1.04 -1.11 0.077 0.298 0.196 -0.027 20.0 1.1348e+20 2.6 279.035 38.0606 106.313 78.6454 53.7239 77.5967 168.645 36.2761 9.03539 51.9394 177.467 7.95346 86.0593 9.97161 305.393 77.1938 0.0384418 2.33333e+17 0.00205617 0.0728356 0.00202394 0.633825 -0.335508 201604101028A R
130.74 32.77 14.8 -0.325 2.06 -1.74 0.097 -0.475 1.08 19.0 2.25607e+19 2.2 299.235 79.1401 -10.1747 31.1713 80.0094 -168.971 301.171 -9.9906 209.235 -10.8599 255.286 14.8269 72.8431 75.1603 165.126 0.604579 0.0840511 -1.66667e+16 -0.000738748 -0.166681 -0.000710493 -0.187516 0.735514 201604141226A SS
145.26 18.82 582.5 -0.878 -0.255 1.13 -0.504 -0.099 -0.103 19.0 1.15362e+19 2.0 149.643 50.2427 -129.633 21.9692 53.6969 -52.5207 291.969 -36.3031 59.6431 -39.7573 353.058 60.5597 177.553 29.3648 86.4699 1.924 0.0209391 -1e+16 -0.000866839 0.0435917 -0.000856807 -0.623167 0.0327834 201511241321A N-SS
