#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) Seismic_moment_Mo Magnitude_Mw Strike_A Dip_A Rake_A Strike_B Dip_B Rake_B Slip_trend_A Slip_plunge_A Slip_trend_B Slip_plunge_B Trend_P Plunge_P Trend_B Plunge_B Trend_T Plunge_T fclvd Isotropic Iso_ratio u_Hudson v_Hudson X_Kaverina Y_Kaverina ID rupture_type
147.74 -7.84 71.6 -0.739 -2.35 3.09 -1.95 4.05 0.702 20.0 5.33912e+20 3.1 51.9956 30.3393 -10.4677 151.055 84.7345 -119.922 61.0553 -5.26546 321.996 -59.6607 32.4907 42.4666 154.079 29.7827 265.941 33.0504 0.13516 3.33333e+16 6.24323e-05 -0.270437 5.8665e-05 -0.091967 -0.0929166 202007170250A N
-172.06 -16.01 22.6 -0.706 -0.912 1.62 0.508 0.46 -0.062 19.0 1.5655e+19 2.1 319.727 53.3224 -155.803 214.702 70.8086 -39.2318 124.702 -19.1914 229.727 -36.6776 171.145 40.905 12.7724 47.0162 270.793 10.9481 0.198489 6666670000000000.0 0.000425848 -0.397758 0.00039029 -0.336375 0.258322 202003171606A SS-N
157.87 49.11 52.6 1.96 -0.199 -1.76 0.189 -0.293 -0.815 21.0 2.06765e+21 3.5 31.8814 42.9339 102.931 194.47 48.4035 78.2396 284.47 41.5965 121.881 47.0661 292.766 2.76658 202.339 8.76743 40.1252 80.7998 0.0493049 3.33333e+17 0.000161213 0.0982949 0.000157427 0.723107 -0.324855 202003250249A R
127.9 3.23 104.3 0.78 0.612 -1.39 0.686 -1.33 -0.284 18.0 1.94362e+18 1.5 42.7508 31.2103 151.831 157.358 75.8406 61.893 247.358 14.1594 132.751 58.7897 269.033 25.5816 164.802 27.1813 35.3549 51.0541 0.0839813 666667000000000.0 0.000343002 0.167303 0.000329706 0.246973 -0.121972 202003180313A R-SS
-24.85 -60.06 13.0 0.66 0.079 -0.739 0.028 0.663 -0.383 19.0 1.03972e+19 1.9 221.139 28.1388 121.203 6.65504 66.21 74.5133 96.655 23.79 311.139 61.8612 108.229 19.7731 13.0324 14.142 249.754 65.3358 0.156702 0.0 0.0 0.313405 1.4803e-16 0.418173 -0.320971 202002081432A R
126.58 5.41 28.7 1.23 0.235 -1.46 0.516 1.05 -0.073 19.0 1.79554e+19 2.1 164.195 28.1599 58.7944 18.6875 66.1933 105.501 108.687 23.8067 254.195 61.8401 97.1041 19.7541 192.3 14.1531 315.625 65.3447 0.0636748 1.66667e+16 0.000928228 0.125547 0.000901345 0.418453 -0.32071 202002061340A R
-179.87 51.11 22.8 1.31 -1.34 0.026 0.822 0.608 -0.402 19.0 1.72138e+19 2.1 268.493 29.0842 113.641 61.8864 63.5576 77.4257 151.886 26.4424 358.493 60.9158 161.183 17.6422 67.5588 11.2406 306.596 68.8785 0.0349623 -1.33333e+16 -0.000774574 0.0714457 -0.000760527 0.466021 -0.361464 202001260631A R
-177.81 51.96 12.0 -0.375 -0.086 0.461 0.233 -0.848 -2.54 19.0 2.72126e+19 2.2 92.4642 72.2654 178.469 182.931 88.5419 17.7405 272.931 1.45807 182.464 17.7346 316.324 11.3848 187.478 72.2016 49.0937 13.4963 0.165334 0.0 0.0 -0.330669 7.40149e-17 0.0268334 0.634368 202001230553A SS
-25.69 -59.45 103.9 1.45 -0.349 -1.1 0.798 1.34 -0.496 19.0 2.09656e+19 2.1 203.833 21.0213 84.6253 29.5887 69.0755 92.0615 119.589 20.9245 293.833 68.9787 117.993 24.0487 208.852 1.92552 303.155 65.8645 0.0495129 3333330000000000.0 0.00015899 -0.0993361 0.000155168 0.3784 -0.541943 202001200651A R
123.87 -0.15 129.4 0.782 0.262 -1.04 1.2 0.602 1.85 19.0 2.47099e+19 2.2 3.2661 61.5631 155.076 105.744 68.2489 30.8434 195.744 21.7511 93.2661 28.4369 233.247 4.28295 137.567 52.8867 326.456 36.7807 0.0762228 1.33333e+16 0.000539595 -0.153485 0.000519848 0.385387 0.391218 202001191658A SS-R
